,Month,Year,Location,AQI,Date
1170,Jul,2017,"Kukatpally, JNTU",76,2017-07-01
1266,Jul,2017,"Nacharam, Police station",60,2017-07-01
1362,Jul,2017,"Rajendranagar, NG Ranga Agricultural University",35,2017-07-01
306,Jul,2017,"Paradise, HMWS &SB Pump house",88,2017-07-01
115,Aug,2017,"Uppal, Modern food Industry, IDA",73,2017-08-01
1171,Aug,2017,"Kukatpally, JNTU",70,2017-08-01
1459,Aug,2017,"Sainikpuri, MRO office",69,2017-08-01
1075,Aug,2017,"Chikkadapally, Lepakshi Emporium",59,2017-08-01
1267,Aug,2017,"Nacharam, Police station",52,2017-08-01
1363,Aug,2017,"Rajendranagar, NG Ranga Agricultural University",38,2017-08-01
883,Aug,2017,"Madhapur, Shilpa Kalavedika",43,2017-08-01
19,Aug,2017,"Balanagar, CITD office",120,2017-08-01
403,Aug,2017,"Charminar, TSRTC bus station",100,2017-08-01
211,Aug,2017,"Jubilee Hills, Police station",102,2017-08-01
595,Aug,2017,"Abids, Police station",62,2017-08-01
979,Aug,2017,"MGBS, Bus stand",80,2017-08-01
691,Aug,2017,"KBRN Park, DFO office",35,2017-08-01
787,Aug,2017,"Langar House, Police Station",69,2017-08-01
1555,Aug,2017,"Buddha Purnima Project office, Tank Bund",44,2017-08-01
499,Aug,2017,"Jeedimetla, Industrial Association building",90,2017-08-01
1651,Aug,2017,"Shameerpet, MRO office",58,2017-08-01
307,Aug,2017,"Paradise, HMWS &SB Pump house",80,2017-08-01
788,Sep,2017,"Langar House, Police Station",88,2017-09-01
116,Sep,2017,"Uppal, Modern food Industry, IDA",85,2017-09-01
1652,Sep,2017,"Shameerpet, MRO office",74,2017-09-01
308,Sep,2017,"Paradise, HMWS &SB Pump house",82,2017-09-01
1172,Sep,2017,"Kukatpally, JNTU",82,2017-09-01
1268,Sep,2017,"Nacharam, Police station",77,2017-09-01
1364,Sep,2017,"Rajendranagar, NG Ranga Agricultural University",52,2017-09-01
20,Sep,2017,"Balanagar, CITD office",123,2017-09-01
596,Sep,2017,"Abids, Police station",79,2017-09-01
404,Sep,2017,"Charminar, TSRTC bus station",114,2017-09-01
1460,Sep,2017,"Sainikpuri, MRO office",72,2017-09-01
1076,Sep,2017,"Chikkadapally, Lepakshi Emporium",72,2017-09-01
212,Sep,2017,"Jubilee Hills, Police station",107,2017-09-01
1556,Sep,2017,"Buddha Purnima Project office, Tank Bund",46,2017-09-01
980,Sep,2017,"MGBS, Bus stand",109,2017-09-01
500,Sep,2017,"Jeedimetla, Industrial Association building",112,2017-09-01
884,Sep,2017,"Madhapur, Shilpa Kalavedika",74,2017-09-01
692,Sep,2017,"KBRN Park, DFO office",54,2017-09-01
501,Oct,2017,"Jeedimetla, Industrial Association building",130,2017-10-01
789,Oct,2017,"Langar House, Police Station",88,2017-10-01
597,Oct,2017,"Abids, Police station",91,2017-10-01
213,Oct,2017,"Jubilee Hills, Police station",132,2017-10-01
21,Oct,2017,"Balanagar, CITD office",125,2017-10-01
1365,Oct,2017,"Rajendranagar, NG Ranga Agricultural University",51,2017-10-01
1269,Oct,2017,"Nacharam, Police station",109,2017-10-01
405,Oct,2017,"Charminar, TSRTC bus station",120,2017-10-01
1557,Oct,2017,"Buddha Purnima Project office, Tank Bund",67,2017-10-01
309,Oct,2017,"Paradise, HMWS &SB Pump house",104,2017-10-01
1653,Oct,2017,"Shameerpet, MRO office",49,2017-10-01
981,Oct,2017,"MGBS, Bus stand",102,2017-10-01
693,Oct,2017,"KBRN Park, DFO office",72,2017-10-01
885,Oct,2017,"Madhapur, Shilpa Kalavedika",77,2017-10-01
1077,Oct,2017,"Chikkadapally, Lepakshi Emporium",83,2017-10-01
117,Oct,2017,"Uppal, Modern food Industry, IDA",96,2017-10-01
1173,Oct,2017,"Kukatpally, JNTU",88,2017-10-01
1461,Oct,2017,"Sainikpuri, MRO office",68,2017-10-01
790,Nov,2017,"Langar House, Police Station",112,2017-11-01
1078,Nov,2017,"Chikkadapally, Lepakshi Emporium",76,2017-11-01
1462,Nov,2017,"Sainikpuri, MRO office",75,2017-11-01
502,Nov,2017,"Jeedimetla, Industrial Association building",127,2017-11-01
982,Nov,2017,"MGBS, Bus stand",81,2017-11-01
598,Nov,2017,"Abids, Police station",91,2017-11-01
1558,Nov,2017,"Buddha Purnima Project office, Tank Bund",64,2017-11-01
1270,Nov,2017,"Nacharam, Police station",106,2017-11-01
886,Nov,2017,"Madhapur, Shilpa Kalavedika",104,2017-11-01
1366,Nov,2017,"Rajendranagar, NG Ranga Agricultural University",59,2017-11-01
1174,Nov,2017,"Kukatpally, JNTU",130,2017-11-01
694,Nov,2017,"KBRN Park, DFO office",82,2017-11-01
118,Nov,2017,"Uppal, Modern food Industry, IDA",125,2017-11-01
310,Nov,2017,"Paradise, HMWS &SB Pump house",105,2017-11-01
1654,Nov,2017,"Shameerpet, MRO office",64,2017-11-01
406,Nov,2017,"Charminar, TSRTC bus station",135,2017-11-01
22,Nov,2017,"Balanagar, CITD office",136,2017-11-01
214,Nov,2017,"Jubilee Hills, Police station",115,2017-11-01
503,Dec,2017,"Jeedimetla, Industrial Association building",142,2017-12-01
